Total Number of Clock Cycles
Number of Ships,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
2,5445957,3098890,2854812,2767400,5033498,2611627,3249714,3234436,3536467,2645740,4244828,2842231,4058422,3264365,2810387,3530658,3412313,4168458,2565021,3466526,
20,7569836,6411602,6524910,9488463,6309986,7356736,7398969,6983080,5650759,6292052,6600595,6583509,6623299,5519487,8278321,7634994,6489189,8147598,6387063,6022544,
200,10781594,11448974,13519217,10259584,10118910,12818437,14422179,10748584,9942789,13731165,10860468,8567032,7973844,12365330,8594881,9480635,11863136,11496176,8155483,8021487,
2000,52978982,52622150,56782156,68858405,56934108,53284908,50499471,58549275,62678703,57515298,52788516,55107337,66651259,58262141,56381688,55710744,66172582,58458788,57211401,57709560,
20000,4371122727,4340872516,4428484398,4334785072,4446091920,4276075366,4423261389,4311157946,4312649062,4333130181,4342954164,4352346069,4315545256,4340217912,4213360903,4452017364,4386623568,4703305275,4569616675,4424934224,
Total Number of Clock Cycles
Number of Ships,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
2,5773043,2806847,3871098,3540841,3674256,3753988,3956843,3589545,2828486,3859543,3713415,3127078,3278558,3205676,3304162,3350208,3283700,3368440,2725084,5754049,
20,6469796,7848817,5030014,6987017,6119970,6132074,6408630,5266677,5975566,6177762,5234625,6178178,6070753,6759693,6060617,6273919,8340634,5717581,6508646,5905331,
200,13928082,8900051,9055354,13258986,10305764,9773541,10333584,11425023,8268599,8587792,12374977,10686364,13313684,10019946,10394722,10503130,12980534,10084432,12912141,9152955,
2000,51986140,62135822,52093680,56897872,58931382,57299123,54203414,54711694,54354473,50575287,53023629,49980850,55292820,54742123,53813800,56663828,62027647,61969669,62721413,64300070,
20000,4236996217,4305188110,4392173454,4299817683,4190069493,4261474919,4819335466,4279454037,4300806086,4186473578,4275465406,4151303594,4530450154,4356158354,4137773261,4198680497,4408891769,4208782058,4286872149,4723932645,
89748035,87813755,78501869,84261990,81922542,85422470,81099040,94889886,79247463,85826629,82042605,79422191,88315666,84899708,87066462,86907945,91305872,88526412,83402182,86171745,84601482,86772491,90577002,89470660,83753085,86066459,87459036,86295585,85799733,85666817,88291226,6651485322,6514017532,6771472443,88824236,62394930,75862989,69591330,64791652,70909700,
