Clock Cycles per Ship
Number of Ships,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
2,2722978.500000,1549445.000000,1427406.000000,1383700.000000,2516749.000000,1305813.500000,1624857.000000,1617218.000000,1768233.500000,1322870.000000,2122414.000000,1421115.500000,2029211.000000,1632182.500000,1405193.500000,1765329.000000,1706156.500000,2084229.000000,1282510.500000,1733263.000000,
20,378491.812500,320580.093750,326245.500000,474423.156250,315499.312500,367836.812500,369948.437500,349154.000000,282537.937500,314602.593750,330029.750000,329175.437500,331164.937500,275974.343750,413916.062500,381749.687500,324459.437500,407379.906250,319353.156250,301127.187500,
200,53907.968750,57244.871094,67596.085938,51297.921875,50594.550781,64092.183594,72110.898438,53742.921875,49713.945312,68655.828125,54302.339844,42835.160156,39869.218750,61826.648438,42974.406250,47403.175781,59315.679688,57480.878906,40777.414062,40107.433594,
2000,26489.492188,26311.076172,28391.078125,34429.203125,28467.054688,26642.453125,25249.736328,29274.638672,31339.351562,28757.648438,26394.257812,27553.667969,33325.628906,29131.070312,28190.843750,27855.371094,33086.292969,29229.394531,28605.699219,28854.779297,
20000,218556.140625,217043.640625,221424.234375,216739.250000,222304.593750,213803.765625,221163.062500,215557.890625,215632.453125,216656.515625,217147.703125,217617.312500,215777.250000,217010.890625,210668.046875,222600.859375,219331.171875,235165.265625,228480.843750,221246.718750,
Clock Cycles per Ship
Number of Ships,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,
2,2886521.500000,1403423.500000,1935549.000000,1770420.500000,1837128.000000,1876994.000000,1978421.500000,1794772.500000,1414243.000000,1929771.500000,1856707.500000,1563539.000000,1639279.000000,1602838.000000,1652081.000000,1675104.000000,1641850.000000,1684220.000000,1362542.000000,2877024.500000,
20,323489.812500,392440.843750,251500.703125,349350.843750,305998.500000,306603.687500,320431.500000,263333.843750,298778.312500,308888.093750,261731.250000,308908.906250,303537.656250,337984.656250,303030.843750,313695.937500,417031.687500,285879.062500,325432.312500,295266.562500,
200,69640.406250,44500.253906,45276.769531,66294.929688,51528.820312,48867.703125,51667.921875,57125.113281,41342.996094,42938.960938,61874.886719,53431.820312,66568.421875,50099.730469,51973.609375,52515.648438,64902.671875,50422.160156,64560.703125,45764.773438,
2000,25993.070312,31067.912109,26046.839844,28448.935547,29465.691406,28649.562500,27101.707031,27355.847656,27177.236328,25287.644531,26511.814453,24990.423828,27646.410156,27371.062500,26906.900391,28331.914062,31013.824219,30984.833984,31360.705078,32150.035156,
20000,211849.812500,215259.421875,219608.671875,214990.875000,209503.468750,213073.734375,240966.781250,213972.703125,215040.312500,209323.671875,213773.281250,207565.187500,226522.500000,217807.921875,206888.671875,209934.031250,220444.593750,210439.109375,214343.609375,236196.640625,
44874.015625,43906.875000,39250.937500,40124.757812,39010.734375,40677.367188,38618.589844,45185.660156,37736.886719,40869.824219,39067.910156,37820.089844,44157.832031,42449.855469,43533.230469,43453.972656,45652.937500,44263.207031,39715.324219,41034.164062,40286.417969,41320.230469,43131.906250,42605.074219,39882.421875,40984.027344,41647.160156,41093.136719,40857.015625,40793.722656,44145.613281,332574.250000,325700.875000,338573.625000,44412.121094,32839.437500,39927.890625,36627.015625,34100.871094,37320.894531,
